Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
SP1,2012-04-11,Ath Madrid,Real Madrid,1,4,A,0,1,A,11,25,3,9,18,15,7,8,2,3,0,0,2011-2012
SP1,2012-04-11,Granada,Ath Bilbao,2,2,D,1,0,H,9,19,4,5,9,13,0,11,2,3,1,0,2011-2012
SP1,2012-04-11,Sp Gijon,Levante,3,2,H,1,1,D,24,11,5,7,21,7,7,1,5,0,0,0,2011-2012
SP1,2012-04-11,Valencia,Vallecano,4,1,H,1,0,H,10,12,7,3,13,23,7,7,2,7,0,0,2011-2012
SP1,2012-04-12,Santander,Mallorca,0,3,A,0,1,A,17,12,4,6,16,21,5,5,3,1,0,0,2011-2012
SP1,2012-04-12,Sevilla,Zaragoza,3,0,H,3,0,H,22,10,8,2,15,15,7,2,1,3,0,0,2011-2012
SP1,2012-04-12,Villarreal,Malaga,2,1,H,0,0,D,9,9,3,4,14,15,4,2,0,4,0,1,2011-2012
SP1,2012-04-14,Levante,Barcelona,1,2,A,1,0,H,5,16,2,8,16,7,1,6,5,2,0,0,2011-2012
SP1,2012-04-14,Real Madrid,Sp Gijon,3,1,H,1,1,D,24,3,6,2,7,26,5,1,2,5,0,1,2011-2012
SP1,2012-04-15,Ath Bilbao,Mallorca,1,0,H,1,0,H,13,11,2,1,12,17,7,5,1,4,0,0,2011-2012
SP1,2012-04-15,Betis,Osasuna,1,0,H,1,0,H,10,5,4,1,10,7,3,3,1,2,0,1,2011-2012
SP1,2012-04-15,Espanol,Valencia,4,0,H,2,0,H,16,4,5,1,15,19,6,3,3,5,0,0,2011-2012
SP1,2012-04-15,Malaga,Sociedad,1,1,D,1,0,H,19,10,6,2,11,9,15,6,2,0,0,1,2011-2012
SP1,2012-04-15,Vallecano,Ath Madrid,0,1,A,0,0,D,12,9,3,4,22,17,9,3,6,2,0,0,2011-2012
SP1,2012-04-15,Villarreal,Santander,1,1,D,0,0,D,19,7,5,3,15,6,7,6,2,2,0,0,2011-2012
SP1,2012-04-15,Zaragoza,Granada,1,0,H,1,0,H,8,10,4,0,25,10,2,3,3,3,1,0,2011-2012
SP1,2012-04-16,Getafe,Sevilla,5,1,H,1,1,D,12,15,7,3,9,10,7,7,2,2,0,0,2011-2012
SP1,2012-04-21,Barcelona,Real Madrid,1,2,A,0,1,A,14,14,3,6,11,20,4,7,2,4,0,0,2011-2012
SP1,2012-04-21,Mallorca,Zaragoza,1,0,H,1,0,H,12,11,4,3,18,15,9,2,3,3,0,0,2011-2012
SP1,2012-04-21,Sevilla,Levante,1,1,D,1,1,D,22,7,5,2,8,19,11,2,3,5,0,0,2011-2012
SP1,2012-04-21,Sp Gijon,Vallecano,2,1,H,1,0,H,16,10,6,4,18,17,11,7,4,2,0,2,2011-2012
SP1,2012-04-22,Ath Madrid,Espanol,3,1,H,1,1,D,17,13,7,1,14,11,6,5,3,2,0,0,2011-2012
SP1,2012-04-22,Granada,Getafe,1,0,H,1,0,H,11,7,6,2,6,15,6,1,2,2,0,0,2011-2012
SP1,2012-04-22,Santander,Ath Bilbao,0,1,A,0,1,A,11,9,3,2,14,16,6,12,2,2,0,0,2011-2012
SP1,2012-04-22,Sociedad,Villarreal,1,1,D,0,1,A,18,13,4,4,11,14,6,1,3,2,0,0,2011-2012
SP1,2012-04-22,Valencia,Betis,4,0,H,1,0,H,14,8,7,2,18,8,4,2,2,2,0,2,2011-2012
SP1,2012-04-23,Osasuna,Malaga,1,1,D,0,0,D,12,14,4,4,9,12,6,9,2,1,0,0,2011-2012
SP1,2012-04-28,Espanol,Sp Gijon,0,3,A,0,0,D,18,11,5,6,12,12,10,5,2,3,0,0,2011-2012
SP1,2012-04-28,Getafe,Mallorca,1,3,A,0,1,A,12,16,3,9,8,16,7,3,4,3,0,0,2011-2012
SP1,2012-04-28,Levante,Granada,3,1,H,0,0,D,9,9,5,3,10,10,3,0,1,3,0,0,2011-2012
SP1,2012-04-28,Sociedad,Santander,3,0,H,0,0,D,17,14,5,5,13,17,5,5,1,5,0,0,2011-2012
SP1,2012-04-28,Villarreal,Osasuna,1,1,D,1,0,H,20,9,6,2,12,12,6,5,1,2,0,0,2011-2012
SP1,2012-04-29,Betis,Ath Madrid,2,2,D,0,0,D,9,22,3,6,19,17,3,10,3,2,0,0,2011-2012
SP1,2012-04-29,Malaga,Valencia,1,0,H,1,0,H,16,5,7,1,7,27,7,6,3,3,0,1,2011-2012
SP1,2012-04-29,Real Madrid,Sevilla,3,0,H,1,0,H,15,10,5,3,14,7,9,4,3,2,0,0,2011-2012
SP1,2012-04-29,Vallecano,Barcelona,0,7,A,0,3,A,10,19,4,8,20,7,7,9,3,1,0,0,2011-2012
SP1,2012-04-29,Zaragoza,Ath Bilbao,2,0,H,1,0,H,21,8,8,3,13,11,7,6,1,2,0,0,2011-2012
SP1,2012-05-01,Getafe,Santander,1,1,D,0,0,D,9,11,4,3,25,17,4,5,4,3,0,0,2011-2012
SP1,2012-05-01,Granada,Espanol,2,1,H,2,0,H,17,9,9,3,9,13,7,9,0,1,0,0,2011-2012
